time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-28T17:41:16.370Z,19.2055,-64.5486,56,2.48,md,3,333,1.1597,0.07,pr,pr2017240027,2017-08-28T19:06:45.885Z,"87km N of Road Town, British Virgin Islands",earthquake,3.53,6.48,0.03,3,reviewed,pr,pr
2017-08-28T17:26:10.830Z,18.5816,-66.8926,16,2.58,md,13,225,0.1883,0.31,pr,pr2017240026,2017-08-28T18:18:33.407Z,"11km NNW of Camuy, Puerto Rico",earthquake,1.13,0.82,0.39,9,reviewed,pr,pr
2017-08-28T16:16:17.980Z,36.2784,-97.508,4.71,3.5,mb_lg,,27,0.21,0.1,us,us2000aciv,2017-08-28T19:03:30.576Z,"19km W of Perry, Oklahoma",earthquake,1,3.2,0.045,126,reviewed,us,us
2017-08-28T15:58:19.620Z,-24.0593,-179.8978,490.84,4.6,mb,,72,5.456,0.9,us,us2000acip,2017-08-28T17:10:42.040Z,"South of the Fiji Islands",earthquake,11.8,7.2,0.046,142,reviewed,us,us
2017-08-28T15:18:00.770Z,35.8481,-97.3755,5,2.8,mb_lg,,26,0.082,0.17,us,us2000aci1,2017-08-28T17:52:32.344Z,"5km SE of Guthrie, Oklahoma",earthquake,0.9,1.8,0.072,50,reviewed,us,us
2017-08-28T15:03:51.120Z,36.5722,-113.8873,3.76,3.3,ml,,44,0.677,0.55,us,us2000achu,2017-08-28T16:15:08.203Z,"30km SSE of Mesquite, Nevada",earthquake,2,8,0.032,128,reviewed,us,us
2017-08-28T14:47:58.330Z,19.3022,-69.8668,10,4.5,mb,,69,0.822,0.7,us,us2000achp,2017-08-28T16:51:23.188Z,"2km SE of El Factor, Dominican Republic",earthquake,2.5,1.9,0.09,36,reviewed,us,us
2017-08-28T14:43:36.920Z,18.1783,-64.9096,25,2.95,md,4,223,0.3946,0.1,pr,pr2017240024,2017-08-28T16:05:30.373Z,"18km S of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.38,3.75,0.01,3,reviewed,pr,pr
2017-08-28T14:24:21.820Z,17.8783,-64.7751,69,2.9,md,4,287,0.6645,0.26,pr,pr2017240023,2017-08-28T15:39:39.382Z,"16km NNW of Christiansted, U.S. Virgin Islands",earthquake,7.63,5.88,0.27,4,reviewed,pr,pr
2017-08-28T14:21:53.380Z,-21.2606,-68.8036,120.82,4.5,mb,,70,0.671,0.35,us,us2000achk,2017-08-28T15:53:29.040Z,"134km N of Calama, Chile",earthquake,6.1,5.3,0.27,4,reviewed,us,us
